#DEPT	六五最大主应力	六五最小主应力
250.60000000	4.258558426	3.724724912
250.70000000	4.260623498	3.72649547
250.80000000	4.262697963	3.72828123
250.90000000	4.264760279	3.730047433
251.00000000	4.266810062	3.731793437
251.10000000	4.268845422	3.733516165
251.20000000	4.270857756	3.735201691
251.30000000	4.272865212	3.736879313
251.40000000	4.2748677	3.738548879
251.50000000	4.276879057	3.740232765
251.60000000	4.278898425	3.741929599
251.70000000	4.280929862	3.743645964
251.80000000	4.282974378	3.745383511
251.90000000	4.285021768	3.74712573
252.00000000	4.287070054	3.74886942
252.10000000	4.289106674	3.750594223
252.20000000	4.291134253	3.752304378
252.30000000	4.293145591	3.753988196
252.40000000	4.295143309	3.755649908
252.50000000	4.297135206	3.757302148
252.60000000	4.299123369	3.758948296
252.70000000	4.301117904	3.760604755
252.80000000	4.303117783	3.762269865
252.90000000	4.30513059	3.763955954
253.00000000	4.307150429	3.765653456
253.10000000	4.309173341	3.767355948
253.20000000	4.311192628	3.769052544
253.30000000	4.313200099	3.770729927
253.40000000	4.315198152	3.772391977
253.50000000	4.317178962	3.774025961
253.60000000	4.319166759	3.775671279
253.70000000	4.321163105	3.777330483
253.80000000	4.3232335	3.7791102
253.90000000	4.325378617	3.781011588
254.00000000	4.327594671	3.78302853
254.10000000	4.329974419	3.785312059
254.20000000	4.332405479	3.787679217
254.30000000	4.334892614	3.790137748
254.40000000	4.337352241	3.792551589
254.50000000	4.339736332	3.794842578
254.60000000	4.342018198	3.796967281
254.70000000	4.344054297	3.798691985
254.80000000	4.345960495	3.80020515
254.90000000	4.34769188	3.801433453
255.00000000	4.349272242	3.802415365
255.10000000	4.350808596	3.803325081
255.20000000	4.352319614	3.804192974
255.30000000	4.353910736	3.805191076
255.40000000	4.355565527	3.806292724
255.50000000	4.357347077	3.807601054
255.60000000	4.359259781	3.809123424
255.70000000	4.361245322	3.810764709
255.80000000	4.36333101	3.812569587
255.90000000	4.365466324	3.814455571
256.00000000	4.367627843	3.816384416
256.10000000	4.369810688	3.818348158
256.20000000	4.372008767	3.820336848
256.30000000	4.37422451	3.82235446
256.40000000	4.376499643	3.824469192
256.50000000	4.378855616	3.826716107
256.60000000	4.38127733	3.829070524
256.70000000	4.383842387	3.831659244
256.80000000	4.386461001	3.834335508
256.90000000	4.389118751	3.837075735
257.00000000	4.391719035	3.839722107
257.10000000	4.394195972	3.842167039
257.20000000	4.396556851	3.844422465
257.30000000	4.39856185	3.846096592
257.40000000	4.40039665	3.847492588
257.50000000	4.402034428	3.848566431
257.60000000	4.40345109	3.849278461
257.70000000	4.40482815	3.849925217
257.80000000	4.406173768	3.850519996
257.90000000	4.407633576	3.851301145
258.00000000	4.40917368	3.852213362
258.10000000	4.410838626	3.853329724
258.20000000	4.412644622	3.854676934
258.30000000	4.414501645	3.856107637
258.40000000	4.416414404	3.857629594
258.50000000	4.418329079	3.859154646
258.60000000	4.420234585	3.860664625
258.70000000	4.422115636	3.862134471
258.80000000	4.423976801	3.863571657
258.90000000	4.425831184	3.864997659
259.00000000	4.427688978	3.866429186
259.10000000	4.429578351	3.867912447
259.20000000	4.431494658	3.869439841
259.30000000	4.433476022	3.871073932
259.40000000	4.435512928	3.87279914
259.50000000	4.437587952	3.874586898
259.60000000	4.439717914	3.876464821
259.70000000	4.441861858	3.878365714
259.80000000	4.444013898	3.88027992
259.90000000	4.446149909	3.882167851
260.00000000	4.448262869	3.884017973
260.10000000	4.450355779	3.885835207
260.20000000	4.452401098	3.887574337
260.30000000	4.454424635	3.889277716
260.40000000	4.4564268	3.890946007
260.50000000	4.458399629	3.892566127
260.60000000	4.460365352	3.894174561
260.70000000	4.462323276	3.895770174
260.80000000	4.46428356	3.897369644
260.90000000	4.466251244	3.898981252
261.00000000	4.468229497	3.900610205
261.10000000	4.470235782	3.9022852
261.20000000	4.472258876	3.903987806
261.30000000	4.474305339	3.90572881
261.40000000	4.476375539	3.907508821
261.50000000	4.478452212	3.909299479
261.60000000	4.480532753	3.911096506
261.70000000	4.482594111	3.912862021
261.80000000	4.484637886	3.914598643
261.90000000	4.486646893	3.916278126
262.00000000	4.488617819	3.917895009
262.10000000	4.490568111	3.919477959
262.20000000	4.49249247	3.921018255
262.30000000	4.494414625	3.922554904
262.40000000	4.496339541	3.924096068
262.50000000	4.498284209	3.92566969
262.60000000	4.500251201	3.927280009
262.70000000	4.502233609	3.92891567
262.80000000	4.504239636	3.930590172
262.90000000	4.506251085	3.932273591
263.00000000	4.508265829	3.933962428
263.10000000	4.510276857	3.93564515
263.20000000	4.512286136	3.937324992
263.30000000	4.51429428	3.939002967
263.40000000	4.516312842	3.94069808
263.50000000	4.518346242	3.94241761
263.60000000	4.520394284	3.944161237
263.70000000	4.522483584	3.945972766
263.80000000	4.524594246	3.947819464
263.90000000	4.526729434	3.949706538
264.00000000	4.528901226	3.951653876
264.10000000	4.531087291	3.953624726
264.20000000	4.533289936	3.955622885
264.30000000	4.535498669	3.957631087
264.40000000	4.537700656	3.95962821
264.50000000	4.539888611	3.961602257
264.60000000	4.542029019	3.963498058
264.70000000	4.544133049	3.965333993
264.80000000	4.546176524	3.967070252
264.90000000	4.548138993	3.968673154
265.00000000	4.550055314	3.970200063
265.10000000	4.551904176	3.971615874
265.20000000	4.553713396	3.972966368
265.30000000	4.555507924	3.974292617
265.40000000	4.557303575	3.975620665
265.50000000	4.559136453	3.977009981
265.60000000	4.560999527	3.978448997
265.70000000	4.56293241	3.980002983
265.80000000	4.564916892	3.981641961
265.90000000	4.566936412	3.98333866
266.00000000	4.569002276	3.985111714
266.10000000	4.571080322	3.986904847
266.20000000	4.573166898	3.988712041
266.30000000	4.575256726	3.990524604
266.40000000	4.57735185	3.992345902
266.50000000	4.579452161	3.994175758
266.60000000	4.581577986	3.996047667
266.70000000	4.583724252	3.997953276
266.80000000	4.585890989	3.999892636
266.90000000	4.588103005	4.001906633
267.00000000	4.59033709	4.003957017
267.10000000	4.592596344	4.006048903
267.20000000	4.594895125	4.008205952
267.30000000	4.597215878	4.010399233
267.40000000	4.599564081	4.012637775
267.50000000	4.601951051	4.014940228
267.60000000	4.604349971	4.017262397
267.70000000	4.606760264	4.019603329
267.80000000	4.609133732	4.021883593
267.90000000	4.611458487	4.024083598
268.00000000	4.613689947	4.02612987
268.10000000	4.615745552	4.027886332
268.20000000	4.617684351	4.029450278
268.30000000	4.619428067	4.030692649
268.40000000	4.621008406	4.031665639
268.50000000	4.622504087	4.032498952
268.60000000	4.623913988	4.033190696
